"","HINCP","RNTP","NP","BDSP","HHT_label","BLDG_AGE_dec"
"1",115000,3000,3,3,"Other family household: Female householder, no spouse present",2
"2",115000,3000,3,3,"Other family household: Female householder, no spouse present",2
"3",115000,3000,3,3,"Other family household: Female householder, no spouse present",2
"4",26200,3000,3,4,"Nonfamily household: Male householder: Not living alone",6
"5",26200,3000,3,4,"Nonfamily household: Male householder: Not living alone",6
"6",26200,3000,3,4,"Nonfamily household: Male householder: Not living alone",6
"7",60000,2000,1,3,"Nonfamily household: Female householder: Living alone",5
"8",25000,890,3,1,"Married couple household",5
"9",25000,890,3,1,"Married couple household",5
"10",25000,890,3,1,"Married couple household",5
"11",28000,1000,3,2,"Married couple household",0
"12",28000,1000,3,2,"Married couple household",0
"13",28000,1000,3,2,"Married couple household",0
"14",25100,1300,3,3,"Other family household: Female householder, no spouse present",7
"15",25100,1300,3,3,"Other family household: Female householder, no spouse present",7
"16",25100,1300,3,3,"Other family household: Female householder, no spouse present",7
"17",65000,1900,1,1,"Nonfamily household: Female householder: Living alone",1
"18",29500,900,1,1,"Nonfamily household: Female householder: Living alone",3
"19",85000,1300,2,2,"Married couple household",1
"20",85000,1300,2,2,"Married couple household",1
"21",4000,940,1,1,"Nonfamily household: Male householder: Living alone",5
"22",193000,1700,4,3,"Other family household: Male householder, no spouse present",3
"23",193000,1700,4,3,"Other family household: Male householder, no spouse present",3
"24",193000,1700,4,3,"Other family household: Male householder, no spouse present",3
"25",193000,1700,4,3,"Other family household: Male householder, no spouse present",3
"26",69500,750,2,1,"Nonfamily household: Male householder: Not living alone",0
"27",69500,750,2,1,"Nonfamily household: Male householder: Not living alone",0
"28",10300,1000,5,3,"Married couple household",3
"29",10300,1000,5,3,"Married couple household",3
"30",10300,1000,5,3,"Married couple household",3
"31",10300,1000,5,3,"Married couple household",3
"32",10300,1000,5,3,"Married couple household",3
"33",112000,2000,2,3,"Married couple household",1
"34",112000,2000,2,3,"Married couple household",1
"35",21000,750,1,1,"Nonfamily household: Male householder: Living alone",4
"36",20000,1100,2,2,"Married couple household",2
"37",20000,1100,2,2,"Married couple household",2
"38",75000,1200,1,1,"Nonfamily household: Female householder: Living alone",3
"39",22000,1000,1,2,"Nonfamily household: Male householder: Living alone",3
"40",20000,830,4,2,"Other family household: Female householder, no spouse present",3
"41",20000,830,4,2,"Other family household: Female householder, no spouse present",3
"42",20000,830,4,2,"Other family household: Female householder, no spouse present",3
"43",20000,830,4,2,"Other family household: Female householder, no spouse present",3
"44",70000,590,1,1,"Nonfamily household: Male householder: Living alone",4
"45",67000,800,1,1,"Nonfamily household: Female householder: Living alone",5
"46",55500,670,1,2,"Nonfamily household: Female householder: Living alone",2
"47",36000,1100,1,1,"Nonfamily household: Female householder: Living alone",1
"48",126300,1400,2,1,"Married couple household",0
"49",126300,1400,2,1,"Married couple household",0
"50",47000,1400,2,1,"Nonfamily household: Female householder: Not living alone",0
"51",47000,1400,2,1,"Nonfamily household: Female householder: Not living alone",0
"52",56000,1100,1,1,"Nonfamily household: Female householder: Living alone",1
"53",34000,670,1,0,"Nonfamily household: Female householder: Living alone",3
"54",94000,1800,1,3,"Nonfamily household: Female householder: Living alone",3
"55",23400,850,3,2,"Married couple household",5
"56",23400,850,3,2,"Married couple household",5
"57",23400,850,3,2,"Married couple household",5
"58",10000,1500,3,2,"Married couple household",0
"59",10000,1500,3,2,"Married couple household",0
"60",10000,1500,3,2,"Married couple household",0
"61",87230,1200,2,2,"Other family household: Male householder, no spouse present",1
"62",87230,1200,2,2,"Other family household: Male householder, no spouse present",1
"63",50200,1200,4,0,"Other family household: Male householder, no spouse present",6
"64",50200,1200,4,0,"Other family household: Male householder, no spouse present",6
"65",50200,1200,4,0,"Other family household: Male householder, no spouse present",6
"66",50200,1200,4,0,"Other family household: Male householder, no spouse present",6
"67",18000,1300,1,2,"Nonfamily household: Female householder: Living alone",2
